         NOMBRE DE TORNEO,FECHA,       BUY IN,TOTAL PAGADO,ITM,    POSICIÓN,TOTAL PLAYERS,      PREMIO,TIPO,JUGADORES POR MESA,Mesa Final,CIEGAS INICIALES,TIEMPO POR NIVEL DE CIEGA (MINS),REGISTRO TARDIO (MINS),CIEGAS AL CIERRE DE BURBUJA
KNOCKOUT POWER 500E GTD,1/09/2024,"3,00 €","3,00 €",SI,1,224,"137,10 €",PKO,9,8,,6,,
DERBY 2500E GTD,1/09/2024,"5,00 €","5,00 €",SI,76,468,"23,00 €",PKO,6,-70,,6,,
SUPERSTACK 2000 E GTD,4/09/2024,"5,00 €","5,00 €",NO,132,543,"0,00 €",NORMAL,6,-126,,6,,0
SUPERSTACK 2000 E GTD,4/09/2024,"5,00 €","10,00 €",SI,65,562,"25,40 €",NORMAL,6,-59,,6,,
DESPERADO 3000E GTD,5/09/2024,"5,00 €","5,00 €",NO,374,1123,"15,53 €",PKO,6,-368,,6,,0
SUPERSTACK 500 E GTD,6/09/2024,"1,00 €","1,00 €",SI,78,860,"2,29 €",NORMAL,6,-72,,6,,
SUPERSTACK 5000 E GTD,6/09/2024,"5,00 €","5,00 €",SI,9,1181,"51,81 €",NORMAL,6,-3,,6,,
SUPERSTACK 5000 E GTD,7/09/2024,"5,00 €","10,00 €",SI,20,637,"24,34 €",NORMAL,6,-14,,6,,
SUPERSTACK 5000 E GTD,7/09/2024,"5,00 €","5,00 €",NO,51,192,"0,00 €",NORMAL,6,-45,,6,,0
MYSTERY FEVER 7500 E GTD,7/09/2024,"10,00 €","10,00 €",NO,733,1276,"0,00 €",MYSTERY,6,-727,,6,,0
GALACTIC SERIES 1M GTD,8/09/2024,"100,00 €","5,00 €",SI,1744,10857,"120,00 €",MYSTERY,8,-1736,250,25,,
SUPERSTACK 5 5000 GTD,8/09/2024,"5,00 €","5,00 €",NO,333,584,"0,00 €",NORMAL,6,-327,,6,,0
GALACTIC SERIES 20 E,8/09/2024,"20,00 €","2,00 €",NO,4506,12045,"15,75 €",PKO,6,-4500,,6,205,0
GALACTIC SERIES 10 E,8/09/2024,"10,00 €","0,00 €",NO,2334,9457,"2,35 €",PKO,9,-2325,,6,,0
SUPERSTACK 5 3000E GTD,9/09/2024,"5,00 €","5,00 €",SI,102,883,"11,78 €",NORMAL,6,-96,,6,,
SUPERSTACK 1 500 E GTD,10/09/2024,"1,00 €","1,00 €",NO,334,854,"0,00 €",NORMAL,6,-328,,6,,0
BOUNTY BUILDER 2000 GTD,10/09/2024,"5,00 €","5,00 €",NO,109,614,"1,69 €",PKO,6,-103,,6,,0
FREEKICK TURBO,11/09/2024,"6,00 €","6,00 €",NO,6,22,"0,00 €",SAT,6,0,30,3,30,0
TRIDENTE,11/09/2024,"5,00 €","5,00 €",NO,241,270,"0,00 €",SPIN & GO - PKO,7,-234,12,6,4,0
MYSTERY FEVER 10000 E GTD,11/09/2024,"10,00 €","10,00 €",NO,516,1421,"0,00 €",MYSTERY,8,-508,35,5,32,0
 GALACTIC SERIE SAT,11/09/2024,"1,50 €","1,50 €",NO,32,63,"0,00 €",SAT,8,-24,25,5,18,0
MINI HOT STACK 4000 E GTD,11/09/2024,"5,00 €","5,00 €",NO,635,1111,"0,00 €",NORMAL,9,-626,166,5,75,0
BOUNTY BUILDER 3000 GTD,12/09/2024,"10,00 €","10,00 €",NO,236,328,"0,00 €",PKO,6,-230,100,20,65,0
NOCHE BLANCA,12/09/2024,"5,00 €","5,00 €",NO,593,734,"1,13 €",PKO,6,-587,100,25,75,0
KNOCKOUTPOWER 1000E GTD,12/09/2024,"5,00 €","5,00 €",NO,201,260,"0,00 €",PKO,9,-192,200,5,53,0
KO PROGRESSIVE 500 E GTD,12/09/2024,"5,00 €","5,00 €",SI,9,165,"27,65 €",PKO,9,0,70,5,55,"89,2"
FAST FOOD,12/09/2024,"5,00 €","5,00 €",SI,55,931,"23,39 €",PKO,8,-47,100,15,35,"16,7"
PROGRESIVE KO 1000 E GTD,12/09/2024,"5,00 €","5,00 €",NO,149,287,"0,00 €",PKO,6,-143,40,5,38,0
MYSTERY FEVER 9000 E GTD,12/09/2024,"10,00 €","10,00 €",NO,436,1044,"0,00 €",MYSTERY,8,-428,20,5,31,0
COFFEE TIME,13/09/2024,"10,00 €","10,00 €",SI,15,610,"31,92 €",PKO,6,-9,100,30,110,40
KO PROGRESSIVE 1000 E GTD,13/09/2024,"10,00 €","10,00 €",NO,75,119,"0,00 €",PKO,9,-66,125,6,71,0
KO PROGRESSIVE 500E GTD,13/09/2024,"5,00 €","5,00 €",NO,40,169,"2,26 €",PKO,9,-31,166,6,77,0
KO PROGRESSIVE 750E GTD,13/09/2024,"5,00 €","5,00 €",NO,146,342,"0,00 €",PKO,6,-140,200,6,120,0
SUPERSTACK 2000E GTD,13/09/2024,"5,00 €","5,00 €",SI,1,557,"410,59 €",NORMAL,6,5,82,6,100,16
DESPERADO 3000E GTD,13/09/2024,"5,00 €","5,00 €",NO,503,759,"0,00 €",PKO,6,-497,57,6,44,0
MYSTERY FEVER 9000 E GTD,13/09/2024,"10,00 €","10,00 €",NO,505,708,"0,00 €",MYSTERY,8,-497,100,6,120,0
EPT CYPRUS SAT,15/09/2024,"10,00 €","10,00 €",NO,9,13,"0,00 €",SAT,6,-3,5,5,9,0
GALACTIC SERIES SAT,15/09/2024,"5,00 €","5,00 €",NO,10,90,"0,00 €",SAT,8,-2,100,5,30,0
GS THE CLASSIC 60K GTD,15/09/2024,"10,00 €","10,00 €",NO,3264,8014,"0,00 €",MYSTERY,9,-3255,100,6,75,0
GALACTIC SERIES SAT,15/09/2024,"3,00 €","3,00 €",SI,10,102,"5,40 €",SAT,6,-4,30,5,8,"1,21"
GS KO 30000 E GTD,15/09/2024,"10,00 €","10,00 €",SI,584,4022,"22,28 €",PKO,6,-578,100,6,95,"34,4"
MYSTERY FEVER 10000 E GTD,15/09/2024,"10,00 €","20,00 €",NO,739,1112,"0,00 €",MYSTERY,8,-731,100,5,75,0
MINI HOT STACK 5000 E GTD,15/09/2024,"5,00 €","5,00 €",NO,292,1245,"0,00 €",NORMAL,9,-283,100,5,56,0
BOUNTY BUILDER 3000 GTD,16/09/2024,"10,00 €","10,00 €",NO,213,475,"0,00 €",PKO,6,-207,83,4,42,0
PROGRESIVE KO 1000 E GTD,16/09/2024,"5,00 €","5,00 €",SI,2,311,"167,60 €",PKO,9,7,83,5,33,"51,7"
NOCHE BLANCA,16/09/2024,"5,00 €","5,00 €",SI,101,1332,"10,46 €",PKO,6,-95,57,5,32,12
GS PROGRESSIVE 40K GTD,16/09/2024,"10,00 €","10,00 €",NO,2172,3093,"0,00 €",PKO,6,-2166,100,6,75,0
BIG BANG,16/09/2024,"5,00 €","5,00 €",NO,729,1579,"3,46 €",PKO,6,-723,66,6,33,0
MYSTERY FEVER 10000 E GTD,16/09/2024,"10,00 €","10,00 €",SI,70,1574,"37,94 €",MYSTERY,8,-62,100,6,65,31
MINI HOT BIG STACK,16/09/2024,"5,00 €","5,00 €",SI,179,1199,"7,73 €",NORMAL,9,-170,500,6,85,14
MYSTERY KO,16/09/2024,"5,00 €","5,00 €",NO,1035,2843,"0,00 €",MYSTERY,6,-1029,100,3,33,0
KO PROGRESIVO 1500 GTD,17/09/2024,"10,00 €","10,00 €",NO,45,186,"11,25 €",PKO,6,-39,83,6,34,0
SUPERSTACK 1500 E GTD,17/09/2024,"5,00 €","5,00 €",NO,160,507,"0,00 €",NORMAL,6,-154,41,5,42,0
GS DERBY 15000 E GTD,17/09/2024,"10,00 €","10,00 €",NO,843,1433,"0,00 €",NORMAL,6,-837,167,6,79,0
MYSTERY FEVER 10000 E GTD,17/09/2024,"10,00 €","10,00 €",NO,678,840,"0,00 €",MYSTERY,8,-670,122,5,75,0
MINI HOT BIG STACK,19/09/2024,"5,00 €","5,00 €",NO,476,1170,"0,00 €",NORMAL,9,-467,"20,2",5,3,0
KO PROGRESIVO 1000 E GTD,19/09/2024,"5,00 €","5,00 €",NO,170,225,"1,13 €",PKO,8,-162,200,5,60,0
SUPERSTACK 1500 E GTD,19/09/2024,"5,00 €","5,00 €",NO,215,282,"0,00 €",NORMAL,6,-209,200,5,90,0
KO PROGRESIVO 1500 GTD,19/09/2024,"10,00 €","10,00 €",SI,8,198,"58,28 €",PKO,6,-2,50,5,25,6
MYSTERY KO,19/09/2024,"5,00 €","5,00 €",NO,333,846,"0,00 €",MYSTERY,6,-327,66,5,28,0
KO PROGRESIVO 1000 E GTD,19/09/2024,"10,00 €","10,00 €",SI,20,133,"15,56 €",PKO,9,-11,49,6,54,6
BOWLING,19/09/2024,"5,00 €","10,00 €",NO,401,876,"1,13 €",PKO,6,-395,96,5,64,0
KO PROGRESIVO 1000 E GTD,19/09/2024,"5,00 €","5,00 €",NO,138,304,"0,00 €",PKO,6,-132,33,5,20,0
750 E DEEPSTACK,19/09/2024,"10,00 €","10,00 €",NO,35,122,"0,00 €",NORMAL,6,-29,31,8,31,0
MYSTERY FEVER 10000 E GTD,19/09/2024,"10,00 €","10,00 €",NO,473,1230,"0,00 €",MYSTERY,8,-465,50,5,38,0
GS DERBY 20000 E GTD,19/09/2024,"10,00 €","10,00 €",NO,1035,1748,"0,00 €",NORMAL,6,-1029,24,6,23,0
MINI HOT STACK,19/09/2024,"5,00 €","5,00 €",SI,31,1066,"26,93 €",NORMAL,9,-22,250,5,72,29
NIGHT CLUB,19/09/2024,"10,00 €","10,00 €",NO,756,1750,"2,25 €",PKO,6,-750,100,3,35,0
SUPERSTACK ,21/09/2024,"5,00 €","5,00 €",SI,81,582,"7,98 €",NORMAL,6,-75,71,6,57,8
SUPERSTACK,20/09/2024,"5,00 €","5,00 €",NO,249,811,"0,00 €",NORMAL,6,-243,19,6,0,0
HOLD EM 180 MAX,20/09/2024,"2,00 €","2,00 €",NO,26,80,"0,00 €",NORMAL,9,-17,17,5,4,0
MAIN EVENT MEGA SAT,22/09/2024,"8,00 €","8,00 €",NO,9,44,"0,00 €",SAT,8,-1,75,5,30,0
MYSTERY FEVER 9000 E GTD,22/09/2024,"10,00 €","10,00 €",SI,46,1404,"87,66 €",MYSTERY,8,-38,71,8,90,12
GS MEGA SAT,22/09/2024,"5,00 €","5,00 €",NO,7,12,"0,00 €",SAT,6,-1,50,3,30,0
SUNDAY MINI 4000 E GTD,22/09/2024,"5,00 €","5,00 €",NO,620,860,"0,00 €",NORMAL,9,-611,200,8,130,0
GS SUNDAY KICKOFF,22/09/2024,"10,00 €","10,00 €",NO,2073,6648,"12,38 €",PKO,8,-2065,400,10,180,0
GS MYSTERY 60000 E GTD,22/09/2024,"10,00 €","10,00 €",NO,4095,6606,"0,00 €",MYSTERY,9,-4086,100,6,145,0
POWER PATH FINALE,22/09/2024,"0,00 €","0,00 €",NO,313,469,"0,00 €",NORMAL,8,-305,100,5,55,0
GS LAST CHANCE SAT,22/09/2024,"6,00 €","6,00 €",NO,61,110,"0,00 €",SAT,6,-55,100,5,30,0
TIEMPO DE JUEGO,22/09/2024,"5,00 €","5,00 €",NO,2910,6543,"0,00 €",PKO,6,-2904,80,5,42,0
GS SAT,22/09/2024,"3,00 €","3,00 €",NO,21,42,"0,00 €",SAT,8,-13,100,5,30,0
BIG BANG,22/09/2024,"5,00 €","5,00 €",NO,910,1156,"0,00 €",PKO,6,-904,100,5,76,0
MYSTERY FEVER 10000 E GTD,22/09/2024,"10,00 €","20,00 €",NO,535,1694,"0,00 €",MYSTERY,8,-527,125,5,75,0
BOUNTY BUILDER 1000 GTD,22/09/2024,"5,00 €","5,00 €",NO,316,551,"2,26 €",PKO,6,-310,100,5,90,0
THE HOT MINI STACK,22/09/2024,"5,00 €","5,00 €",NO,654,877,"0,00 €",NORMAL,9,-645,84,5,50,0
MIDNIGHT EXPRESS,22/09/2024,"20,00 €","20,00 €",NO,135,165,"0,00 €",NORMAL,8,-127,83,3,23,0
