fecha,buy_in,total_pagado,itm,posicion,total_jugadores,premio,tipo,jugadores_por_mesa,mesa_final,ciegas_iniciales,tiempo_de_ciega,registro_tardio,ciegas_en_burbuja
2024-09-01,"3,00","3,00",True,1,224,"137,10",PKO,9,True,"100,00",6,"90,00","6,00"
2024-09-01,"5,00","5,00",True,76,468,"23,00",PKO,6,False,"100,00",6,"90,00","6,00"
2024-09-04,"5,00","5,00",False,132,543,"0,00",NORMAL,6,False,"100,00",6,"90,00","0,00"
2024-09-04,"5,00","10,00",True,65,562,"25,40",NORMAL,6,False,"100,00",6,"90,00","6,00"
2024-09-05,"5,00","5,00",False,374,1123,"15,53",PKO,6,False,"100,00",6,"90,00","0,00"
2024-09-06,"1,00","1,00",True,78,860,"2,29",NORMAL,6,False,"100,00",6,"90,00","6,00"
2024-09-06,"5,00","5,00",True,9,1181,"51,81",NORMAL,6,False,"100,00",6,"90,00","6,00"
2024-09-07,"5,00","10,00",True,20,637,"24,34",NORMAL,6,False,"100,00",6,"90,00","6,00"
2024-09-07,"5,00","5,00",False,51,192,"0,00",NORMAL,6,False,"100,00",6,"90,00","0,00"
2024-09-07,"10,00","10,00",False,733,1276,"0,00",MYSTERY,6,False,"100,00",6,"90,00","0,00"
2024-09-08,"100,00","5,00",True,1744,10857,"120,00",MYSTERY,8,False,"250,00",25,"90,00","6,00"
2024-09-08,"5,00","5,00",False,333,584,"0,00",NORMAL,6,False,"100,00",6,"90,00","0,00"
2024-09-08,"20,00","2,00",False,4506,12045,"15,75",PKO,6,False,"100,00",6,"205,00","0,00"
2024-09-08,"10,00","0,00",False,2334,9457,"2,35",PKO,9,False,"100,00",6,"90,00","0,00"
2024-09-09,"5,00","5,00",True,102,883,"11,78",NORMAL,6,False,"100,00",6,"90,00","6,00"
2024-09-10,"1,00","1,00",False,334,854,"0,00",NORMAL,6,False,"100,00",6,"90,00","0,00"
2024-09-10,"5,00","5,00",False,109,614,"1,69",PKO,6,False,"100,00",6,"90,00","0,00"
2024-09-11,"6,00","6,00",False,6,22,"0,00",SAT,6,True,"30,00",3,"30,00","0,00"
2024-09-11,"5,00","5,00",False,241,270,"0,00",SPIN & GO - PKO,7,False,"12,00",6,"4,00","0,00"
2024-09-11,"10,00","10,00",False,516,1421,"0,00",MYSTERY,8,False,"35,00",5,"32,00","0,00"
2024-09-11,"1,50","1,50",False,32,63,"0,00",SAT,8,False,"25,00",5,"18,00","0,00"
2024-09-11,"5,00","5,00",False,635,1111,"0,00",NORMAL,9,False,"166,00",5,"75,00","0,00"
2024-09-12,"10,00","10,00",False,236,328,"0,00",PKO,6,False,"100,00",20,"65,00","0,00"
2024-09-12,"5,00","5,00",False,593,734,"1,13",PKO,6,False,"100,00",25,"75,00","0,00"
2024-09-12,"5,00","5,00",False,201,260,"0,00",PKO,9,False,"200,00",5,"53,00","0,00"
2024-09-12,"5,00","5,00",True,9,165,"27,65",PKO,9,True,"70,00",5,"55,00","89,20"
2024-09-12,"5,00","5,00",True,55,931,"23,39",PKO,8,False,"100,00",15,"35,00","16,70"
2024-09-12,"5,00","5,00",False,149,287,"0,00",PKO,6,False,"40,00",5,"38,00","0,00"
2024-09-12,"10,00","10,00",False,436,1044,"0,00",MYSTERY,8,False,"20,00",5,"31,00","0,00"
2024-09-13,"10,00","10,00",True,15,610,"31,92",PKO,6,False,"100,00",30,"110,00","40,00"
2024-09-13,"10,00","10,00",False,75,119,"0,00",PKO,9,False,"125,00",6,"71,00","0,00"
2024-09-13,"5,00","5,00",False,40,169,"2,26",PKO,9,False,"166,00",6,"77,00","0,00"
2024-09-13,"5,00","5,00",False,146,342,"0,00",PKO,6,False,"200,00",6,"120,00","0,00"
2024-09-13,"5,00","5,00",True,1,557,"410,59",NORMAL,6,True,"82,00",6,"100,00","16,00"
2024-09-13,"5,00","5,00",False,503,759,"0,00",PKO,6,False,"57,00",6,"44,00","0,00"
2024-09-13,"10,00","10,00",False,505,708,"0,00",MYSTERY,8,False,"100,00",6,"120,00","0,00"
2024-09-15,"10,00","10,00",False,9,13,"0,00",SAT,6,False,"5,00",5,"9,00","0,00"
2024-09-15,"5,00","5,00",False,10,90,"0,00",SAT,8,False,"100,00",5,"30,00","0,00"
2024-09-15,"10,00","10,00",False,3264,8014,"0,00",MYSTERY,9,False,"100,00",6,"75,00","0,00"
2024-09-15,"3,00","3,00",True,10,102,"5,40",SAT,6,False,"30,00",5,"8,00","1,21"
2024-09-15,"10,00","10,00",True,584,4022,"22,28",PKO,6,False,"100,00",6,"95,00","34,40"
